asset_id,price_date,value_eur,release_date,issuance_value_eur,number_of_splints,Round indexed_at 100,asset_en,asset_de,asset_fr,category_en,category_de,category_fr,subcategory_en,subcategory_de,subcategory_fr,expert
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,9/30/25,8043,5/3/22,16350,327,49.19,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,6/30/25,8115,5/3/22,16350,327,49.63,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,8/31/25,8125,5/3/22,16350,327,49.69,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,7/31/25,8125,5/3/22,16350,327,49.69,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,5/31/25,8244,5/3/22,16350,327,50.42,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,4/30/25,8338,5/3/22,16350,327,51,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,3/31/25,8624,5/3/22,16350,327,52.75,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
bc19f9ec-e0c3-4d01-ad43-d87b670c4952,9/30/25,34730,6/13/22,64350,1287,53.97,Audemars Piguet Royal Oak - Reference 26320ST,Audemars Piguet Royal Oak - Referenz 26320ST,Audemars Piguet Royal Oak - Réf. 26320ST,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,2/28/25,8893,5/3/22,16350,327,54.39,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,1/31/25,8944,5/3/22,16350,327,54.7,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,12/31/24,8944,5/3/22,16350,327,54.7,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,11/30/24,8944,5/3/22,16350,327,54.7,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,10/31/24,8944,5/3/22,16350,327,54.7,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,9/30/24,8946,5/3/22,16350,327,54.72,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
bc19f9ec-e0c3-4d01-ad43-d87b670c4952,8/31/25,35230,6/13/22,64350,1287,54.75,Audemars Piguet Royal Oak - Reference 26320ST,Audemars Piguet Royal Oak - Referenz 26320ST,Audemars Piguet Royal Oak - Réf. 26320ST,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
bc19f9ec-e0c3-4d01-ad43-d87b670c4952,7/31/25,35730,6/13/22,64350,1287,55.52,Audemars Piguet Royal Oak - Reference 26320ST,Audemars Piguet Royal Oak - Referenz 26320ST,Audemars Piguet Royal Oak - Réf. 26320ST,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
bc19f9ec-e0c3-4d01-ad43-d87b670c4952,6/30/25,35730,6/13/22,64350,1287,55.52,Audemars Piguet Royal Oak - Reference 26320ST,Audemars Piguet Royal Oak - Referenz 26320ST,Audemars Piguet Royal Oak - Réf. 26320ST,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
bc19f9ec-e0c3-4d01-ad43-d87b670c4952,5/31/25,35730,6/13/22,64350,1287,55.52,Audemars Piguet Royal Oak - Reference 26320ST,Audemars Piguet Royal Oak - Referenz 26320ST,Audemars Piguet Royal Oak - Réf. 26320ST,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,8/31/24,9134,5/3/22,16350,327,55.87,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
bc19f9ec-e0c3-4d01-ad43-d87b670c4952,4/30/25,36102,6/13/22,64350,1287,56.1,Audemars Piguet Royal Oak - Reference 26320ST,Audemars Piguet Royal Oak - Referenz 26320ST,Audemars Piguet Royal Oak - Réf. 26320ST,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,7/31/24,9243,5/3/22,16350,327,56.53,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,6/30/24,9344,5/3/22,16350,327,57.15,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,3/31/24,9394,5/3/22,16350,327,57.46,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,4/30/24,9399,5/3/22,16350,327,57.49,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,5/31/24,9409,5/3/22,16350,327,57.55,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,2/29/24,9413,5/3/22,16350,327,57.57,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
bc19f9ec-e0c3-4d01-ad43-d87b670c4952,3/31/25,37130,6/13/22,64350,1287,57.7,Audemars Piguet Royal Oak - Reference 26320ST,Audemars Piguet Royal Oak - Referenz 26320ST,Audemars Piguet Royal Oak - Réf. 26320ST,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,1/31/24,9484,5/3/22,16350,327,58.01,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
a08f4ffc-6f5e-4342-98e9-18c7641eb8b0,12/31/23,9561,5/3/22,16350,327,58.48,Rolex Air-King - 2021 - Reference 116900,Rolex Air-King - 2021 - Referenz 116900,Rolex Air-King - 2021 - Réf. 116900,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
bc19f9ec-e0c3-4d01-ad43-d87b670c4952,2/28/25,38130,6/13/22,64350,1287,59.25,Audemars Piguet Royal Oak - Reference 26320ST,Audemars Piguet Royal Oak - Referenz 26320ST,Audemars Piguet Royal Oak - Réf. 26320ST,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
bc19f9ec-e0c3-4d01-ad43-d87b670c4952,1/31/25,38130,6/13/22,64350,1287,59.25,Audemars Piguet Royal Oak - Reference 26320ST,Audemars Piguet Royal Oak - Referenz 26320ST,Audemars Piguet Royal Oak - Réf. 26320ST,Watches,Uhren,Montres,Limited,Limitierte,Limité,WatchBox
